AGNO,COD_DEPE,COD_REG_RBD,COD_ENSE,PROM_GRAL
2013,Municipal,Región de Aysén del Gral. Ibañez del Campo,Educacion Basica,5.157780440317508
2013,Municipal,Región de Aysén del Gral. Ibañez del Campo,Educacion Media,4.310608424336973
2013,Municipal,Región de Coquimbo,Educacion Basica,5.263888326926968
2013,Municipal,Región de Coquimbo,Educacion Media,4.7245542857142855
2013,Municipal,Región de La Araucanía,Educacion Basica,5.231391719547737
2013,Municipal,Región de La Araucanía,Educacion Media,4.4773614486164455
2013,Municipal,Región de Los Lagos,Educacion Basica,5.22600359180224
2013,Municipal,Región de Los Lagos,Educacion Media,4.630046755189826
2013,Municipal,Región de Los Ríos,Educacion Basica,5.289192692002174
2013,Municipal,Región de Los Ríos,Educacion Media,4.680412287793048
2013,Municipal,Región de Magallanes y Antártica Chilena,Educacion Basica,5.444467697907188
2013,Municipal,Región de Magallanes y Antártica Chilena,Educacion Media,4.956940700808625
2013,Municipal,Región de Tarapacá,Educacion Basica,4.944446459334482
2013,Municipal,Región de Tarapacá,Educacion Media,4.234240818563859
2013,Municipal,Región de Valparaíso,Educacion Basica,5.107441002081124
2013,Municipal,Región de Valparaíso,Educacion Media,4.450098036258334
2013,Municipal,Región del Bío-Bío,Educacion Basica,5.337180092322216
2013,Municipal,Región del Bío-Bío,Educacion Media,4.800323002104958
2013,Municipal,Región del Libertador Bernardo O'Higgins,Educacion Basica,5.268241295922086
2013,Municipal,Región del Libertador Bernardo O'Higgins,Educacion Media,4.772978650269258
2013,Municipal,Región del Maule,Educacion Basica,5.2916890007850785
2013,Municipal,Región del Maule,Educacion Media,4.742743098648241
2013,Particular Pagado,Región Metropolitana de Santiago,Educacion Basica,5.86140729066043
2013,Particular Pagado,Región Metropolitana de Santiago,Educacion Media,5.666167148172011
2013,Particular Pagado,Región de Antofagasta,Educacion Basica,5.798383005707038
2013,Particular Pagado,Región de Antofagasta,Educacion Media,5.4806409417920205
2013,Particular Pagado,Región de Arica y Parinacota,Educacion Basica,6.131978021978022
2013,Particular Pagado,Región de Arica y Parinacota,Educacion Media,5.678367346938776
